client_code,product,push_notification
1,Кредитная карта,"Айгерим, у вас пока нет активных трат, но мы готовы помочь! Оформите кредитную карту и получайте 10% кешбэк на топ-категории и онлайн-сервисы. Это ваш шанс начать экономить!"
2,Премиальная карта,"Данияр, вы активно тратите в ресторанах — 171 456 ₸! Откройте премиальную карту и получайте 2% кешбэка на каждую трата. Это отличный способ сэкономить на любимых блюдах!"
3,Кредитная карта,"Сабина, у вас еще нет кредитной карты? Откройте для себя 10% кешбэк на топ-категории и онлайн-сервисы! Беспроцентный период поможет вам управлять финансами. Оформите карту и наслаждайтесь преимуществами!"
4,Кредитная карта,"Тимур, вы можете воспользоваться кредитной картой с 10% кешбэком на топ-категории и онлайн-сервисы. Это отличный способ вернуть часть средств! Откройте карту уже сегодня и наслаждайтесь беспроцентным периодом!"
5,Премиальная карта,"Камилла, замечаем ваши активные траты в ресторанах на сумму 141 320 ₸! Откройте премиальную карту и получайте 2% кешбэка на каждую покупку. Это отличный способ экономить на любимых удовольствиях!"
6,Кредитная карта,"Аян, у вас пока нет активной кредитной карты. Откройте нашу кредитную карту и получите 10% кешбэк на топ-категории и онлайн-сервисы! Это отличный способ начать получать выгоду."
7,Премиальная карта,"Руслан, заметили ваши впечатляющие траты в ресторанах — 149 896 ₸! Откройте премиальную карту и получайте кешбэк 2% на каждую покупку. Это отличная возможность экономить на любимых блюдах!"
8,Премиальная карта,"Мадина, вы активно тратите на рестораны! С премиальной картой ваш кешбэк составит 2% от покупок. Это отличная возможность начать экономить. Оформите карту и наслаждайтесь выгодами!"
9,Премиальная карта,"Арман, ваши траты в ресторанах составили 139 455 ₸. Откройте премиальную карту и получите кешбэк 2% на каждую покупку! Это отличный способ экономить на ваших любимых местах."
10,Премиальная карта,"Карина, вы активно тратите на рестораны, и это здорово! Откройте премиальную карту и получайте 2% кешбэка с каждой траты. Убедитесь, что ваши расходы приносят пользу. Оформить карту можно прямо сейчас!"
11,Премиальная карта,"Бауржан, замечаем ваши траты в ресторанах — 139 554 ₸. Откройте премиальную карту и получайте кешбэк 2% на все покупки! Приятные бонусы уже ждут вас. Настройте вашу карту прямо сейчас!"
