client_code,product,push_notification
1,Кредитная карта,"Айгерим, у вас разные категории трат, а кредитная карта даст до 10% кешбэка на любимые покупки и беспроцентный период. Оформить карту? Оформление займёт всего пару минут в мобильном приложении."
2,Премиальная карта,"Данияр, у вас стабильные траты в ресторанах на уровне 171 456 ₸. Премиальная карта даст повышенный кешбэк и бесплатные снятия наличных. Оформить сейчас? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
3,Кредитная карта,"Сабина, у вас много разных трат, но нет кешбэка! Кредитная карта даст до 10% на ваши любимые категории и беспроцентный период. Оформить карту? Оформление займёт всего пару минут в мобильном приложении."
4,Кредитная карта,"Тимур, у вас разнообразные траты, но пока нет кредитной карты. Она даст до 10% кешбэка на любимые категории и беспроцентный период. Оформить карту? Оформление займёт всего пару минут в мобильном приложении."
5,Премиальная карта,"Камилла, у вас стабильные траты в ресторанах на сумму 141 320 ₸. Премиальная карта обеспечит повышенный кешбэк и бесплатные снятия. Оформить карту? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
6,Кредитная карта,"Аян, у вас разные категории трат. Кредитная карта даст до 10% кешбэка на любимые покупки и беспроцентный период. Хотите оформить? Оформление займёт всего пару минут в мобильном приложении."
7,Премиальная карта,"Руслан, у вас стабильно крупные траты в ресторанах — 149 896 ₸. Премиальная карта даст вам повышенный кешбэк и бесплатные снятия. Оформить сейчас? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
8,Премиальная карта,"Мадина, у вас стабильно крупные траты в ресторанах — 173 071 ₸. Премиальная карта даст повышенный кешбэк и бесплатные снятия наличных. Оформить сейчас? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
9,Премиальная карта,"Арман, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас. Оформление займёт несколько минут."
10,Премиальная карта,"Карина, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас. Оформление займёт несколько минут."
11,Премиальная карта,"Бауржан, у вас значительные траты в ресторанах. Премиальная карта обеспечит повышенный кешбэк 2% и бесплатные снятия наличных. Оформить сейчас? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
12,Премиальная карта,"Жанар, у вас стабильные траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас и наслаждайтесь преимуществами! Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
13,Премиальная карта,"Алина, у вас активные траты в ресторанах — 98 140 ₸. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
14,Премиальная карта,"Диас, у вас стабильные траты в ресторанах — 116 088 ₸. Премиальная карта даст вам повышенный кешбэк и бесплатные снятия. Оформить карту? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
15,Премиальная карта,"Нурия, у вас стабильные траты в ресторанах на 136 378 ₸. Премиальная карта даст вам повышенный кешбэк и бесплатные снятия. Оформить сейчас? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
16,Кредитная карта,"Ерасыл, у вас много разных трат, но кешбэк пока не работает. Кредитная карта даст вам до 10% возврата и беспроцентный период. Оформить карту? Оформление займёт всего пару минут в мобильном приложении."
17,Премиальная карта,"Жанель, у вас крупные траты в ресторанах — 145 114 ₸. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
18,Кредитная карта,"Санжар, у вас разные категории трат. Кредитная карта предлагает до 10% кешбэка на любимые покупки и беспроцентный период. Оформить карту? Оформление займёт всего пару минут в мобильном приложении."
19,Премиальная карта,"Азамат, у вас стабильно крупные траты в ресторанах — 160 359 ₸. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас. Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
20,Премиальная карта,"Анель, у вас стабильно крупные траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
21,Премиальная карта,"Павел, у вас крупные траты в ресторанах — 178 545 ₸. Премиальная карта обеспечит повышенный кешбэк и бесплатные снятия. Оформить сейчас? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
22,Премиальная карта,"Аружан, у вас стабильные траты в ресторанах на 160 455 ₸. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
