client_code,product,push_notification
1,Депозит Сберегательный,"Айгерим, у вас остаются свободные средства. Сберегательный вклад под 16,5% годовых без возможности снятия. Открыть вклад."
2,Премиальная карта,"Данияр, вы часто в ресторанах (171 457 ₸/мес). Премиальная карта вернёт 4% с этих трат. Подключить карту."
3,Карта для путешествий,"Сабина, в августе у вас 148 поездок на такси на 628 863 ₸. С картой для путешествий вернули бы 25 155 ₸ кешбэком. Оформить карту."
4,Карта для путешествий,"Тимур, в августе у вас 164 поездок на такси на 473 218 ₸. С картой для путешествий вернули бы 18 929 ₸ кешбэком. Оформить карту."
5,Премиальная карта,"Камилла, вы часто в ресторанах (141 320 ₸/мес). Премиальная карта вернёт 4% с этих трат. Подключить карту."
6,Карта для путешествий,"Аян, в августе у вас 182 поездок на такси на 397 768 ₸. С картой для путешествий вернули бы 15 911 ₸ кешбэком. Оформить карту."
7,Премиальная карта,"Руслан, вы часто в ресторанах (149 897 ₸/мес). Премиальная карта вернёт 4% с этих трат. Подключить карту."
8,Депозит Сберегательный,"Мадина, у вас остаются свободные средства. Сберегательный вклад под 16,5% годовых без возможности снятия. Открыть вклад."
9,Премиальная карта,"Арман, вы часто в ресторанах (139 456 ₸/мес). Премиальная карта вернёт 4% с этих трат. Подключить карту."
10,Депозит Мультивалютный,"Карина, вы работаете с валютой. Мультивалютный депозит под 14,5% с доступом к средствам. Открыть депозит."
11,Премиальная карта,"Бауржан, вы часто в ресторанах (139 555 ₸/мес). Премиальная карта вернёт 4% с этих трат. Подключить карту."
12,Депозит Мультивалютный,"Жанар, вы работаете с валютой. Мультивалютный депозит под 14,5% с доступом к средствам. Открыть депозит."
13,Депозит Мультивалютный,"Алина, вы работаете с валютой. Мультивалютный депозит под 14,5% с доступом к средствам. Открыть депозит."
14,Инвестиции,"Диас, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
15,Инвестиции,"Нурия, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
16,Инвестиции,"Ерасыл, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
17,Кредит наличными,"Жанель, если нужны средства — кредит наличными до 1 000 000 ₸ от 12% годовых без залога. Узнать лимит."
18,Кредит наличными,"Санжар, если нужны средства — кредит наличными до 1 000 000 ₸ от 12% годовых без залога. Узнать лимит."
19,Обмен валют,"Азамат, вы часто меняете валюту (10 057 045 ₸). В приложении выгодный курс 24/7 без комиссии. Настроить обмен."
20,Обмен валют,"Анель, вы часто меняете валюту (8 953 099 ₸). В приложении выгодный курс 24/7 без комиссии. Настроить обмен."
21,Премиальная карта,"Павел, вы часто в ресторанах (178 546 ₸/мес). Премиальная карта вернёт 4% с этих трат. Подключить карту."
22,Обмен валют,"Аружан, вы часто меняете валюту (8 825 074 ₸). В приложении выгодный курс 24/7 без комиссии. Настроить обмен."
23,Обмен валют,"Темирлан, вы часто меняете валюту (10 787 817 ₸). В приложении выгодный курс 24/7 без комиссии. Настроить обмен."
24,Обмен валют,"Гульмира, вы часто меняете валюту (9 924 668 ₸). В приложении выгодный курс 24/7 без комиссии. Настроить обмен."
25,Кредитная карта,"Адиль, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% кешбэка в любимых категориях. Оформить карту."
26,Карта для путешествий,"Маржан, в августе у вас 204 поездок на такси на 582 219 ₸. С картой для путешествий вернули бы 23 289 ₸ кешбэком. Оформить карту."
