client_code,product,push_notification
1,Депозит,"Мария, защитите сбережения от курсовых колебаний. Мультивалютный вклад под 14.5% годовых. Открыть вклад."
2,Депозит,"Алексей, защитите сбережения от курсовых колебаний. Мультивалютный вклад под 14.5% годовых. Открыть вклад."
3,Депозит,"Елена, защитите сбережения от курсовых колебаний. Мультивалютный вклад под 14.5% годовых. Открыть вклад."
4,Депозит,"Дмитрий, защитите сбережения от курсовых колебаний. Мультивалютный вклад под 14.5% годовых. Открыть вклад."
5,Депозит,"Анна, защитите сбережения от курсовых колебаний. Мультивалютный вклад под 14.5% годовых. Открыть вклад."
6,Депозит,"Сергей, защитите сбережения от курсовых колебаний. Мультивалютный вклад под 14.5% годовых. Открыть вклад."
7,Депозит,"Ольга, защитите сбережения от курсовых колебаний. Мультивалютный вклад под 14.5% годовых. Открыть вклад."
8,Депозит,"Андрей, защитите сбережения от курсовых колебаний. Мультивалютный вклад под 14.5% годовых. Открыть вклад."
9,Депозит,"Наталья, защитите сбережения от курсовых колебаний. Мультивалютный вклад под 14.5% годовых. Открыть вклад."
10,Депозит,"Иван, защитите сбережения от курсовых колебаний. Мультивалютный вклад под 14.5% годовых. Открыть вклад."
11,Депозит,"Мария, защитите сбережения от курсовых колебаний. Мультивалютный вклад под 14.5% годовых. Открыть вклад."
12,Депозит,"Алексей, защитите сбережения от курсовых колебаний. Мультивалютный вклад под 14.5% годовых. Открыть вклад."
13,Депозит,"Елена, защитите сбережения от курсовых колебаний. Мультивалютный вклад под 14.5% годовых. Открыть вклад."
14,Депозит,"Дмитрий, защитите сбережения от курсовых колебаний. Мультивалютный вклад под 14.5% годовых. Открыть вклад."
15,Депозит,"Анна, защитите сбережения от курсовых колебаний. Мультивалютный вклад под 14.5% годовых. Открыть вклад."
16,Депозит,"Сергей, защитите сбережения от курсовых колебаний. Мультивалютный вклад под 14.5% годовых. Открыть вклад."
17,Депозит,"Ольга, защитите сбережения от курсовых колебаний. Мультивалютный вклад под 14.5% годовых. Открыть вклад."
18,Депозит,"Андрей, защитите сбережения от курсовых колебаний. Мультивалютный вклад под 14.5% годовых. Открыть вклад."
19,Депозит,"Наталья, защитите сбережения от курсовых колебаний. Мультивалютный вклад под 14.5% годовых. Открыть вклад."
20,Депозит,"Иван, защитите сбережения от курсовых колебаний. Мультивалютный вклад под 14.5% годовых. Открыть вклад."
